gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,description
NEFH,4.55455985556606e-46,1.42978282291714,0.634,0.138,1.83261824908411e-41,neurofilament heavy chain [Source:HGNC Symbol;Acc:HGNC:7737]
PAQR4,8.65310929809921e-46,1.24120828307384,0.537,0.085,3.48175158827618e-41,progestin and adipoQ receptor family member 4 [Source:HGNC Symbol;Acc:HGNC:26386]
CDCA7,8.76462107027933e-46,1.28157552284244,0.858,0.359,3.52662058004829e-41,cell division cycle associated 7 [Source:HGNC Symbol;Acc:HGNC:14628]
DAPK2,2.78042888365827e-45,1.11701253136385,0.448,0.055,1.11876116991758e-40,death associated protein kinase 2 [Source:HGNC Symbol;Acc:HGNC:2675]
CRIP2,5.90882239463289e-45,1.40196406916105,0.821,0.261,2.37753286692844e-40,cysteine rich protein 2 [Source:HGNC Symbol;Acc:HGNC:2361]
RCAN1,6.5248403858782e-45,1.01244584292572,0.94,0.557,2.62540002606581e-40,regulator of calcineurin 1 [Source:HGNC Symbol;Acc:HGNC:3040]
CNTLN,8.12574553218918e-45,1.20336865544932,0.455,0.061,3.26955622978696e-40,centlein [Source:HGNC Symbol;Acc:HGNC:23432]
CTB-36O1.5,1.28642211141476e-44,0.896720800066833,0.978,0.634,5.17617664969958e-40,
LGALS7B,7.08141583692272e-44,1.42014663421463,0.44,0.058,2.84934929030259e-39,galectin 7B [Source:HGNC Symbol;Acc:HGNC:34447]
RAMP2,9.69705868643168e-44,1.42748620727681,0.366,0.034,3.90180550365952e-39,receptor activity modifying protein 2 [Source:HGNC Symbol;Acc:HGNC:9844]
DSN1,1.13596713106825e-43,1.46118287197751,0.679,0.182,4.57079094527933e-39,DSN1 component of MIS12 kinetochore complex [Source:HGNC Symbol;Acc:HGNC:16165]
NCAPH2,1.15473503294933e-43,1.32640126935727,0.828,0.311,4.64630735207821e-39,non-SMC condensin II complex subunit H2 [Source:HGNC Symbol;Acc:HGNC:25071]
RAD21,8.25555116415857e-43,1.1235169880985,0.963,0.497,3.32178612192248e-38,RAD21 cohesin complex component [Source:HGNC Symbol;Acc:HGNC:9811]
ANXA11,1.07156102471634e-42,1.15785221982006,0.896,0.395,4.31164009515114e-38,annexin A11 [Source:HGNC Symbol;Acc:HGNC:535]
SMC4,1.43642003392961e-42,1.3046519551733,0.806,0.262,5.77972329052256e-38,structural maintenance of chromosomes 4 [Source:HGNC Symbol;Acc:HGNC:14013]
FGFBP2,3.23219862981415e-42,1.75104334537526,0.381,0.042,1.30053976267832e-37,fibroblast growth factor binding protein 2 [Source:HGNC Symbol;Acc:HGNC:29451]
PLCB4,4.62032158325914e-42,1.31424181589143,0.612,0.133,1.85907879545598e-37,phospholipase C beta 4 [Source:HGNC Symbol;Acc:HGNC:9059]
C19orf57,5.92038180128722e-42,1.49979710184768,0.463,0.071,2.38218402538394e-37,
BSPRY,8.57156424683207e-42,1.52982911141709,0.53,0.1,3.44894030599782e-37,B-box and SPRY domain containing [Source:HGNC Symbol;Acc:HGNC:18232]
TAGLN2P1,3.6682915317109e-41,0.89111172450323,0.896,0.56,1.47601046361451e-36,transgelin 2 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:21739]
DPP7,9.14907094188048e-41,1.45110967434081,0.694,0.19,3.68131167488445e-36,dipeptidyl peptidase 7 [Source:HGNC Symbol;Acc:HGNC:14892]
MFGE8,1.32746546246127e-40,0.57814789890414,0.978,0.856,5.34132278130542e-36,milk fat globule EGF and factor V/VIII domain containing [Source:HGNC Symbol;Acc:HGNC:7036]
MALL,2.23116431249248e-40,1.17811058160247,0.552,0.109,8.97753584417599e-36,"mal, T cell differentiation protein like [Source:NCBI gene (formerly Entrezgene);Acc:7851]"
MALL,2.23116431249248e-40,1.17811058160247,0.552,0.109,8.97753584417599e-36,"mal, T cell differentiation protein like [Source:HGNC Symbol;Acc:HGNC:6818]"
RPL32P3,5.58450406406751e-40,1.26930291335584,0.679,0.181,2.24703690025884e-35,ribosomal protein L32 pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:27024]
NEURL1,5.84105531388652e-40,1.28702526836204,0.619,0.143,2.35026542664852e-35,neuralized E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:7761]
MCM7,6.86795672731104e-40,0.74418214756011,0.94,0.68,2.76345974836814e-35,minichromosome maintenance complex component 7 [Source:HGNC Symbol;Acc:HGNC:6950]
VIM,1.13099074843848e-39,0.359180958634708,0.993,0.917,4.5507674744919e-35,vimentin [Source:HGNC Symbol;Acc:HGNC:12692]
KRT6A,1.36701356495637e-39,1.1007165767183,0.687,0.192,5.50045248131493e-35,keratin 6A [Source:HGNC Symbol;Acc:HGNC:6443]
LGALS1,1.55430803581795e-39,1.12711217495025,0.91,0.429,6.25406924372067e-35,galectin 1 [Source:HGNC Symbol;Acc:HGNC:6561]
CD151,2.08209948753292e-39,0.598216365522527,0.993,0.859,8.37774370798622e-35,CD151 molecule (Raph blood group) [Source:HGNC Symbol;Acc:HGNC:1630]
TCF19,3.32936601916064e-39,1.52863940545606,0.567,0.13,1.33963700512967e-34,transcription factor 19 [Source:HGNC Symbol;Acc:HGNC:11629]
SH3BP5,3.77753129122244e-39,1.27038638183038,0.448,0.071,1.51996526564917e-34,SH3 domain binding protein 5 [Source:HGNC Symbol;Acc:HGNC:10827]
FXYD3,4.18270595450561e-39,1.17996555521254,0.91,0.349,1.68299539491442e-34,FXYD domain containing ion transport regulator 3 [Source:HGNC Symbol;Acc:HGNC:4027]
GPX4,5.58205243506729e-39,0.456991340362379,0.978,0.817,2.24605043829802e-34,glutathione peroxidase 4 [Source:HGNC Symbol;Acc:HGNC:4556]
PYGB,1.3659573614271e-38,0.49819181763287,0.978,0.846,5.49620263517422e-34,glycogen phosphorylase B [Source:HGNC Symbol;Acc:HGNC:9723]
TMEM123,1.51144968745584e-38,0.801476709599145,0.933,0.627,6.08162010741605e-34,transmembrane protein 123 [Source:HGNC Symbol;Acc:HGNC:30138]
CKB,2.90343266980729e-38,1.28384209243111,0.761,0.291,1.16825420335036e-33,creatine kinase B [Source:HGNC Symbol;Acc:HGNC:1991]
KNTC1,4.39515574700943e-38,1.38167655556887,0.664,0.197,1.76847881792418e-33,kinetochore associated 1 [Source:HGNC Symbol;Acc:HGNC:17255]
CHTF18,4.58637317466086e-38,1.40335854546817,0.634,0.166,1.84541897428829e-33,chromosome transmission fidelity factor 18 [Source:HGNC Symbol;Acc:HGNC:18435]
RP11-424C20.2,6.24127824498084e-38,1.26749416383633,0.418,0.06,2.51130312743294e-33,
RP11-48O20.4,1.15521134594341e-37,1.01317170353936,0.366,0.042,4.64822389267248e-33,
GINS2,1.52833165348476e-37,1.45434121341124,0.604,0.147,6.14954807412662e-33,GINS complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:24575]
CTB-36O1.7,2.09745848198251e-37,0.989511327778126,0.955,0.477,8.43954369395302e-33,
ATP2C1,3.98153781830324e-37,0.892969202080072,0.918,0.62,1.60205137195067e-32,ATPase secretory pathway Ca2+ transporting 1 [Source:HGNC Symbol;Acc:HGNC:13211]
SDC4,7.60771316465192e-37,0.646386227326341,0.963,0.749,3.06111554606099e-32,syndecan 4 [Source:HGNC Symbol;Acc:HGNC:10661]
CLEC4F,7.7281187595928e-37,1.37468109106696,0.425,0.064,3.10956314529735e-32,C-type lectin domain family 4 member F [Source:HGNC Symbol;Acc:HGNC:25357]
HSF4,1.68469531018618e-36,1.18448722138325,0.433,0.065,6.77870851959615e-32,heat shock transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:5227]
RPS2P5,1.765877122456e-36,0.494748465767972,0.97,0.85,7.1053597776262e-32,ribosomal protein S2 pseudogene 5 [Source:HGNC Symbol;Acc:HGNC:31386]
CRYAB,4.45782195374496e-36,1.17985699420972,0.813,0.354,1.79369381952836e-31,crystallin alpha B [Source:HGNC Symbol;Acc:HGNC:2389]
AC000095.6,5.42724832014215e-36,0.923663304313601,0.246,0.014,2.1837619065756e-31,
IL12RB2,6.27791698159733e-36,1.27990064251562,0.433,0.071,2.52604545588532e-31,interleukin 12 receptor subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:5972]
EPHB1,6.33236607067548e-36,1.31506597696907,0.396,0.059,2.54795413585769e-31,EPH receptor B1 [Source:HGNC Symbol;Acc:HGNC:3392]
PNPLA2,9.92115535998956e-36,1.28591496128145,0.731,0.265,3.991975282199e-31,"patatin like domain 2, triacylglycerol lipase [Source:HGNC Symbol;Acc:HGNC:30802]"
RANBP1,1.64956979347421e-35,1.06025583442496,0.813,0.403,6.63737397800219e-31,RAN binding protein 1 [Source:HGNC Symbol;Acc:HGNC:9847]
TNFAIP2,1.74848368585207e-35,1.21543061257953,0.545,0.124,7.03537380676297e-31,TNF alpha induced protein 2 [Source:HGNC Symbol;Acc:HGNC:11895]
SEPT3,2.25246123867622e-35,0.979112650360465,0.299,0.028,9.06322828606152e-31,
EHF,2.42900755469168e-35,1.0137814567608,0.881,0.465,9.77359769781293e-31,ETS homologous factor [Source:HGNC Symbol;Acc:HGNC:3246]
ALDH3A2,3.67660265254813e-35,1.22077138808546,0.776,0.302,1.47935460930579e-30,aldehyde dehydrogenase 3 family member A2 [Source:HGNC Symbol;Acc:HGNC:403]
TPD52,5.83183381900459e-35,1.1180371589044,0.791,0.314,2.34655497375288e-30,tumor protein D52 [Source:HGNC Symbol;Acc:HGNC:12005]
KRT7,6.12062653480454e-35,0.951737114088164,0.94,0.506,2.4627564988093e-30,keratin 7 [Source:HGNC Symbol;Acc:HGNC:6445]
PKP3,8.66384516551404e-35,1.38568212625071,0.642,0.199,3.48607137924788e-30,plakophilin 3 [Source:HGNC Symbol;Acc:HGNC:9025]
OCLN,1.10601951960511e-34,1.1924127442547,0.784,0.28,4.45029074103509e-30,occludin [Source:HGNC Symbol;Acc:HGNC:8104]
HAUS5,1.11485718598253e-34,1.19230512588417,0.791,0.369,4.48585085923791e-30,HAUS augmin like complex subunit 5 [Source:HGNC Symbol;Acc:HGNC:29130]
ACTN4,1.5484654244677e-34,0.347628864264689,0.985,0.942,6.23056032843067e-30,actinin alpha 4 [Source:HGNC Symbol;Acc:HGNC:166]
GLUD1,8.66525679004977e-34,1.22721527292154,0.754,0.298,3.48663937461233e-29,glutamate dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:4335]
INSIG1,9.50950437998285e-34,1.40405511019832,0.619,0.187,3.8263392773737e-29,insulin induced gene 1 [Source:HGNC Symbol;Acc:HGNC:6083]
SKAP2,1.35243795155419e-33,1.10977727849995,0.343,0.043,5.4418045856686e-29,src kinase associated phosphoprotein 2 [Source:HGNC Symbol;Acc:HGNC:15687]
RP11-529F4.1,1.64408313769081e-33,1.1499258034244,0.388,0.06,6.61529732112651e-29,
SNRPB,1.85824385873833e-33,0.404813468679487,0.963,0.828,7.47701581440541e-29,small nuclear ribonucleoprotein polypeptides B and B1 [Source:HGNC Symbol;Acc:HGNC:11153]
STMN3,1.96294099619376e-33,1.27505118300668,0.664,0.223,7.89828568638481e-29,stathmin 3 [Source:HGNC Symbol;Acc:HGNC:15926]
KLK5,2.32408130633609e-33,1.41100087291167,0.306,0.033,9.35140595230453e-29,kallikrein related peptidase 5 [Source:HGNC Symbol;Acc:HGNC:6366]
RP1-131H7.2,2.40739219725625e-33,0.441580338654113,0.224,0.012,9.68662398409997e-29,
FTHL20,2.90843046901631e-33,0.280874938427387,0.978,0.967,1.17026516781809e-28,
EPB41L1,3.06181674186165e-33,1.1326428716795,0.687,0.231,1.23198320242287e-28,erythrocyte membrane protein band 4.1 like 1 [Source:HGNC Symbol;Acc:HGNC:3378]
XXbac-B444P24.10,3.10392107023691e-33,0.800325064936548,0.313,0.035,1.24892472103123e-28,
EFNA5,3.23170231359245e-33,0.967988670795459,0.881,0.503,1.30034005992019e-28,ephrin A5 [Source:HGNC Symbol;Acc:HGNC:3225]
FBLN1,1.05220268922288e-32,1.01878817270922,0.933,0.483,4.23374796062611e-28,fibulin 1 [Source:HGNC Symbol;Acc:HGNC:3600]
ISL2,1.4472527146759e-32,0.768115840319073,0.142,0,5.82331074804141e-28,ISL LIM homeobox 2 [Source:HGNC Symbol;Acc:HGNC:18524]
SLC4A3,1.49774397387924e-32,1.24809700046123,0.545,0.132,6.0264724276979e-28,solute carrier family 4 member 3 [Source:HGNC Symbol;Acc:HGNC:11029]
CENPH,4.66131165600649e-32,1.38641070256933,0.455,0.095,1.87557197102733e-27,centromere protein H [Source:HGNC Symbol;Acc:HGNC:17268]
SF3A2,7.15168696061994e-32,0.989520117739444,0.724,0.222,2.87762428234464e-27,splicing factor 3a subunit 2 [Source:HGNC Symbol;Acc:HGNC:10766]
PCOLCE,8.57539009138564e-32,1.18292730605021,0.358,0.053,3.45047971107084e-27,procollagen C-endopeptidase enhancer [Source:HGNC Symbol;Acc:HGNC:8738]
RP11-298C3.2,9.78768948879368e-32,1.07377949467725,0.731,0.29,3.93827261960591e-27,
CDC42EP3,1.37006349675639e-31,0.689833525073876,0.948,0.693,5.51272449189869e-27,CDC42 effector protein 3 [Source:HGNC Symbol;Acc:HGNC:16943]
ZIC2,1.57717856285291e-31,1.12023293703922,0.418,0.073,6.34609338335124e-27,Zic family member 2 [Source:HGNC Symbol;Acc:HGNC:12873]
SDC1,2.20839281968498e-31,0.945760600166944,0.836,0.472,8.88591018856647e-27,syndecan 1 [Source:HGNC Symbol;Acc:HGNC:10658]
MCM6,2.2261096508754e-31,1.33997098637465,0.597,0.174,8.95719740222734e-27,minichromosome maintenance complex component 6 [Source:HGNC Symbol;Acc:HGNC:6949]
NPNT,2.47475137638222e-31,1.14359301563466,0.799,0.344,9.95765711314914e-27,nephronectin [Source:HGNC Symbol;Acc:HGNC:27405]
CREBZF,3.38812611312147e-31,1.14747269706763,0.724,0.264,1.36328030413669e-26,CREB/ATF bZIP transcription factor [Source:HGNC Symbol;Acc:HGNC:24905]
AHCY,5.15451769930319e-31,0.596644818562542,0.918,0.679,2.07402328666862e-26,adenosylhomocysteinase [Source:HGNC Symbol;Acc:HGNC:343]
GNG12,6.93299625716473e-31,1.30995934387089,0.627,0.21,2.78962970399537e-26,G protein subunit gamma 12 [Source:HGNC Symbol;Acc:HGNC:19663]
UCP2,8.09754443437348e-31,1.30091755561828,0.44,0.084,3.25820895405886e-26,uncoupling protein 2 [Source:HGNC Symbol;Acc:HGNC:12518]
SLC20A2,8.65570511774338e-31,1.197412342163,0.694,0.244,3.4827960682264e-26,solute carrier family 20 member 2 [Source:HGNC Symbol;Acc:HGNC:10947]
TLE6,9.99312735684189e-31,1.28967949292034,0.328,0.046,4.02093465457247e-26,"TLE family member 6, subcortical maternal complex member [Source:HGNC Symbol;Acc:HGNC:30788]"
OLFM1,1.02751991874824e-30,1.13673281969736,0.276,0.029,4.1344318970673e-26,olfactomedin 1 [Source:HGNC Symbol;Acc:HGNC:17187]
LOXL3,2.05609136221041e-30,0.993633985134931,0.313,0.04,8.27309481412602e-26,lysyl oxidase like 3 [Source:HGNC Symbol;Acc:HGNC:13869]
BST2,2.20224627338929e-30,1.3620216502192,0.537,0.116,8.8611783302365e-26,bone marrow stromal cell antigen 2 [Source:HGNC Symbol;Acc:HGNC:1119]
SLPI,4.37504745462655e-30,1.21797590039132,0.784,0.262,1.76038784431809e-25,secretory leukocyte peptidase inhibitor [Source:HGNC Symbol;Acc:HGNC:11092]
CTD-3193K9.7,5.14802699188374e-30,0.604259195595063,0.224,0.016,2.07141162072426e-25,
KLC3,5.28611656894858e-30,1.32854408822394,0.351,0.055,2.12697472384784e-25,kinesin light chain 3 [Source:HGNC Symbol;Acc:HGNC:20717]
STMN1,5.7460703194887e-30,0.334767153390015,0.97,0.865,2.31204631445267e-25,stathmin 1 [Source:HGNC Symbol;Acc:HGNC:6510]
TRABD,8.56280155521981e-30,0.932984052967137,0.851,0.481,3.44541446177379e-25,TraB domain containing [Source:HGNC Symbol;Acc:HGNC:28805]
CCDC109B,9.96365971693145e-30,1.39129308017066,0.358,0.061,4.00907776030171e-25,
RP11-889L3.3,1.02030998657899e-29,1.10968675741272,0.575,0.154,4.10542129299789e-25,
ITGB1,1.10948766410404e-29,0.54086824812131,0.963,0.829,4.46424551405544e-25,integrin subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:6153]
TSEN34,1.57898920857528e-29,1.23081130495345,0.649,0.226,6.35337887854437e-25,tRNA splicing endonuclease subunit 34 [Source:HGNC Symbol;Acc:HGNC:15506]
ALDH1A3,1.89337382213946e-29,1.24198530836612,0.575,0.174,7.61836824814255e-25,aldehyde dehydrogenase 1 family member A3 [Source:HGNC Symbol;Acc:HGNC:409]
TMEM147,4.35559865145992e-29,0.995109788080332,0.843,0.405,1.75256222938793e-24,transmembrane protein 147 [Source:HGNC Symbol;Acc:HGNC:30414]
KRT81,4.69245421662602e-29,1.5565817448983,0.53,0.15,1.88810280314381e-24,keratin 81 [Source:HGNC Symbol;Acc:HGNC:6458]
SLC16A1,5.17969628405515e-29,1.17948331084715,0.619,0.195,2.08415439381527e-24,solute carrier family 16 member 1 [Source:HGNC Symbol;Acc:HGNC:10922]
ARHGEF28,5.28011848464678e-29,1.16252776445621,0.612,0.196,2.12456127466733e-24,Rho guanine nucleotide exchange factor 28 [Source:HGNC Symbol;Acc:HGNC:30322]
CD44,7.50291214686518e-29,0.472366391227938,0.955,0.826,3.01894676053414e-24,CD44 molecule (IN blood group) [Source:HGNC Symbol;Acc:HGNC:1681]
CLDN4,7.65909954477641e-29,0.771500362860469,0.948,0.612,3.08179188383168e-24,claudin 4 [Source:HGNC Symbol;Acc:HGNC:2046]
CXCR4,1.08454475114783e-28,1.20184595803539,0.716,0.282,4.36388271519352e-24,C-X-C motif chemokine receptor 4 [Source:HGNC Symbol;Acc:HGNC:2561]
TGFB2,1.47998694458269e-28,1.24130733049606,0.604,0.207,5.95502346891735e-24,transforming growth factor beta 2 [Source:HGNC Symbol;Acc:HGNC:11768]
ZWINT,1.82923238975113e-28,1.29438413953551,0.56,0.163,7.36028236664162e-24,ZW10 interacting kinetochore protein [Source:HGNC Symbol;Acc:HGNC:13195]
DPYSL2,3.75819174221578e-28,0.845993471456396,0.858,0.567,1.51218361131537e-23,dihydropyrimidinase like 2 [Source:HGNC Symbol;Acc:HGNC:3014]
TAF7L,4.09001246031599e-28,1.0872670264306,0.231,0.02,1.64569831365735e-23,TATA-box binding protein associated factor 7 like [Source:HGNC Symbol;Acc:HGNC:11548]
TYMS,7.32068115707918e-28,1.24896647863334,0.642,0.247,2.94562247717395e-23,thymidylate synthetase [Source:HGNC Symbol;Acc:HGNC:12441]
GNB4,9.58210335952222e-28,1.07464909229282,0.746,0.296,3.85555092877096e-23,G protein subunit beta 4 [Source:HGNC Symbol;Acc:HGNC:20731]
KIAA1841,1.0320042265371e-27,1.15300094636679,0.381,0.073,4.15247540631732e-23,
RP11-204J18.3,1.42621331796145e-27,1.16733499174691,0.418,0.092,5.73865452748148e-23,
HSPA1B,1.84629802181398e-27,0.83764439732806,0.866,0.586,7.4289493503729e-23,heat shock protein family A (Hsp70) member 1B [Source:HGNC Symbol;Acc:HGNC:5233]
EPAS1,2.94129587034903e-27,1.0551540174184,0.5,0.126,1.18348921935234e-22,endothelial PAS domain protein 1 [Source:HGNC Symbol;Acc:HGNC:3374]
PPFIBP2,3.40976287285625e-27,1.09277455205126,0.761,0.371,1.37198628715117e-22,PPFIA binding protein 2 [Source:HGNC Symbol;Acc:HGNC:9250]
OSBPL3,3.60334684347696e-27,1.10919986328827,0.612,0.202,1.44987866940982e-22,oxysterol binding protein like 3 [Source:HGNC Symbol;Acc:HGNC:16370]
LSS,3.96663243843864e-27,1.1456102157729,0.664,0.259,1.59605389425455e-22,lanosterol synthase [Source:HGNC Symbol;Acc:HGNC:6708]
E2F7,4.64651155467341e-27,1.10381606830484,0.381,0.076,1.86961685425394e-22,E2F transcription factor 7 [Source:HGNC Symbol;Acc:HGNC:23820]
PLEKHA6,4.78636041778482e-27,1.00076774051901,0.597,0.178,1.92588784130408e-22,pleckstrin homology domain containing A6 [Source:HGNC Symbol;Acc:HGNC:17053]
