gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,description
RPS4Y1,5.0459495388354e-28,-2.60152392136465,0.007,0.545,2.0303387159412e-23,ribosomal protein S4 Y-linked 1 [Source:HGNC Symbol;Acc:HGNC:10425]
MANBAL,1.38909796277831e-27,-2.0197067147316,0.037,0.568,5.58931347283108e-23,mannosidase beta like [Source:HGNC Symbol;Acc:HGNC:15799]
SDK2,1.97106913997149e-27,-1.66042906541223,0.007,0.541,7.93099089850328e-23,sidekick cell adhesion molecule 2 [Source:HGNC Symbol;Acc:HGNC:19308]
ABCG1,6.2807554700732e-27,-1.83893532610999,0.052,0.578,2.52718757849335e-22,ATP binding cassette subfamily G member 1 [Source:HGNC Symbol;Acc:HGNC:73]
H3F3C,1.94322218730776e-25,-0.425617692460078,0.851,0.967,7.81894311507025e-21,
RP11-478C6.4,2.41867683005357e-24,-0.658138048132505,0.597,0.86,9.73202996108654e-20,
CCND1,3.73714136040273e-23,-1.44077973035558,0.157,0.631,1.50371356918524e-18,cyclin D1 [Source:HGNC Symbol;Acc:HGNC:1582]
ITM2B,4.86195724910928e-22,-0.40264864327918,0.806,0.917,1.9563057383241e-17,integral membrane protein 2B [Source:HGNC Symbol;Acc:HGNC:6174]
MIR143HG,5.25551582730736e-22,-1.54897506411486,0,0.454,2.11466190343366e-17,
RP11-26H16.1,8.00960171919998e-22,-0.792674468778466,0.41,0.802,3.2228234437545e-17,
SOX11,2.23528493593392e-21,-1.45096302125145,0.022,0.467,8.99411599671732e-17,SRY-box transcription factor 11 [Source:HGNC Symbol;Acc:HGNC:11191]
RPL34P31,2.50361758881058e-21,-1.17418184196742,0.172,0.61,1.00738060920971e-16,ribosomal protein L34 pseudogene 31 [Source:HGNC Symbol;Acc:HGNC:36899]
RPLP1P11,5.51130263432984e-21,-0.417929126514335,0.799,0.944,2.2175828409753e-16,ribosomal protein lateral stalk subunit P1 pseudogene 11 [Source:HGNC Symbol;Acc:HGNC:36196]
ACTG2,1.24187241094347e-20,-1.72375192599367,0.194,0.59,4.99692201991322e-16,"actin gamma 2, smooth muscle [Source:HGNC Symbol;Acc:HGNC:145]"
CCDC144B,1.6089003528334e-20,-1.20098586959171,0.022,0.457,6.47373234969574e-16,
AC016708.2,1.70093466852749e-20,-1.08007450842254,0.358,0.763,6.84405082575407e-16,
RP5-843L14.2,2.94639251776276e-20,-0.436973151418465,0.746,0.923,1.1855399573722e-15,
RP3-412A9.11,4.50328766320036e-20,-1.84602663629796,0.03,0.453,1.81198785704193e-15,
MRPL36,7.80769626761493e-20,-1.90236474482306,0.022,0.446,3.14158274720022e-15,mitochondrial ribosomal protein L36 [Source:HGNC Symbol;Acc:HGNC:14490]
EGR1,8.22978261822895e-20,-0.487659487603583,0.799,0.958,3.31141763209678e-15,early growth response 1 [Source:HGNC Symbol;Acc:HGNC:3238]
AC018738.2,9.72121301323705e-20,-0.755706714443094,0.455,0.77,3.91152448013619e-15,
PLAT,1.13845829384387e-19,-1.84149201372358,0.082,0.504,4.58081463693959e-15,"plasminogen activator, tissue type [Source:HGNC Symbol;Acc:HGNC:9051]"
HLA-H,1.65449812109184e-19,-0.484579719427424,0.776,0.885,6.65720408983722e-15,"major histocompatibility complex, class I, H (pseudogene) [Source:HGNC Symbol;Acc:HGNC:4965]"
RPL23AP3,3.93541327814278e-19,-0.539174853164945,0.627,0.88,1.58349224072631e-14,ribosomal protein L23a pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:10320]
IER3,5.24403952651662e-19,-1.29481835256044,0.179,0.591,2.11004418428449e-14,immediate early response 3 [Source:HGNC Symbol;Acc:HGNC:5392]
MTRNR2L8,6.43968238474109e-19,-0.714454111096664,0.575,0.837,2.59113500114827e-14,
RP11-241I20.3,8.50216875018815e-19,-0.560962905163932,0.582,0.839,3.42101764001321e-14,
EDN3,1.14674783171962e-18,-1.90652991632738,0.015,0.416,4.61416925049024e-14,endothelin 3 [Source:HGNC Symbol;Acc:HGNC:3178]
BEX4,1.16272887864119e-18,-0.980401044841197,0.336,0.718,4.67847218898856e-14,brain expressed X-linked 4 [Source:HGNC Symbol;Acc:HGNC:25475]
FOS,1.73654066818551e-18,-0.573972119463658,0.664,0.942,6.98731868657803e-14,"Fos proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:3796]"
RP11-184F3.1,2.4202139991979e-18,-0.808347665169953,0.299,0.705,9.73821506857257e-14,
COL6A1,5.73222156785787e-18,-1.24543509309664,0.112,0.521,2.30647399225897e-13,collagen type VI alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2211]
EPHA7,8.02798031706145e-18,-1.56844721273601,0.007,0.394,3.23021844017602e-13,EPH receptor A7 [Source:HGNC Symbol;Acc:HGNC:3390]
MIA,8.26642634914357e-18,-0.897572049483186,0.396,0.708,3.3261619701049e-13,MIA SH3 domain containing [Source:HGNC Symbol;Acc:HGNC:7076]
IFI16,1.47274148490192e-17,-1.57150881336177,0.015,0.403,5.92586991279987e-13,interferon gamma inducible protein 16 [Source:HGNC Symbol;Acc:HGNC:5395]
SERPINF1,2.90612207017634e-17,-1.92897495314591,0.03,0.41,1.16933633737685e-12,serpin family F member 1 [Source:HGNC Symbol;Acc:HGNC:8824]
RPL23AP2,5.72235922423478e-17,-0.454076400714545,0.709,0.896,2.30250568105535e-12,ribosomal protein L23a pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:10319]
C2orf40,6.45659640439327e-17,-1.99769895701922,0.015,0.385,2.59794069523572e-12,
RPS26,6.65657765130404e-17,-0.355236769219879,0.851,0.879,2.67840714955521e-12,ribosomal protein S26 [Source:HGNC Symbol;Acc:HGNC:10414]
EDF1,1.44695589645822e-16,-0.287351848708835,0.813,0.913,5.82211644057894e-12,endothelial differentiation related factor 1 [Source:HGNC Symbol;Acc:HGNC:3164]
LDHB,1.97199022435726e-16,-0.432758499066694,0.687,0.836,7.93469706574632e-12,lactate dehydrogenase B [Source:HGNC Symbol;Acc:HGNC:6541]
NOTCH1,1.97550662913279e-16,-0.772440781181547,0.5,0.757,7.94884602364161e-12,notch receptor 1 [Source:HGNC Symbol;Acc:HGNC:7881]
HAPLN1,2.59707254741097e-16,-1.57765898265993,0.03,0.398,1.04498408090175e-11,hyaluronan and proteoglycan link protein 1 [Source:HGNC Symbol;Acc:HGNC:2380]
TCF4,3.82154365105656e-16,-1.00952580917787,0.007,0.365,1.53767451887563e-11,transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:11634]
COL4A1,4.00688560319251e-16,-1.07261226355659,0.239,0.61,1.61225056015657e-11,collagen type IV alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2202]
FABP7,4.04408400485285e-16,-0.962802560522872,0.291,0.656,1.62721808103264e-11,fatty acid binding protein 7 [Source:HGNC Symbol;Acc:HGNC:3562]
TRAF3IP3,4.35036219696788e-16,-1.3487354797241,0.134,0.492,1.75045523719397e-11,TRAF3 interacting protein 3 [Source:HGNC Symbol;Acc:HGNC:30766]
HNRNPL,1.46443890463747e-15,-0.439818893194123,0.843,0.935,5.89246282058978e-11,heterogeneous nuclear ribonucleoprotein L [Source:HGNC Symbol;Acc:HGNC:5045]
GABRP,1.72712302007688e-15,-1.57392874324408,0.067,0.447,6.94942489588333e-11,gamma-aminobutyric acid type A receptor subunit pi [Source:HGNC Symbol;Acc:HGNC:4089]
RP11-414K1.3,1.86873506681283e-15,-1.26037497412087,0.007,0.355,7.5192292883348e-11,
AP000525.9,2.08010392363955e-15,-0.649050480582057,0,0.343,8.36971415754847e-11,
CCND2,2.16831819504125e-15,-1.40606950970869,0.015,0.358,8.72466192138747e-11,cyclin D2 [Source:HGNC Symbol;Acc:HGNC:1583]
EGR2,2.2506742968717e-15,-1.18553177755596,0.209,0.592,9.05603816832267e-11,early growth response 2 [Source:HGNC Symbol;Acc:HGNC:3239]
RPL10AP2,2.25636597546021e-15,-0.250387663782478,0.91,0.985,9.07893977545926e-11,ribosomal protein L10a pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:31081]
FOSB,2.52042047714737e-15,-0.542150892607021,0.642,0.9,1.01414158738979e-10,"FosB proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:3797]"
AC005152.3,2.88760968315736e-15,-0.665896882868332,0.545,0.757,1.16188750821203e-10,
NFIA,3.60050351621284e-15,-0.973206891151682,0.216,0.6,1.44873459981856e-10,nuclear factor I A [Source:HGNC Symbol;Acc:HGNC:7784]
RP11-401L13.4,3.89884685712088e-15,-0.528628850296253,0.575,0.839,1.56877900989973e-10,
DUSP6,5.40964462860682e-15,-1.42595418151352,0.067,0.422,2.17667870921253e-10,dual specificity phosphatase 6 [Source:HGNC Symbol;Acc:HGNC:3072]
SOX9-AS1,7.19282391402152e-15,-0.686677105148799,0.567,0.782,2.89417655828484e-10,SOX9 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:49321]
PNLDC1,7.30160699546912e-15,-1.64059831125529,0,0.333,2.93794760676691e-10,PARN like ribonuclease domain containing exonuclease 1 [Source:HGNC Symbol;Acc:HGNC:21185]
MFAP2,9.57600910320312e-15,-0.724752466988328,0.425,0.727,3.85309878285584e-10,microfibril associated protein 2 [Source:HGNC Symbol;Acc:HGNC:7033]
PCDHGC3,1.0990965438794e-14,-1.33678857924345,0.037,0.382,4.42243476360755e-10,"protocadherin gamma subfamily C, 3 [Source:HGNC Symbol;Acc:HGNC:8716]"
CD99,1.82411470388031e-14,-0.778754340271381,0.388,0.702,7.33969033400321e-10,CD99 molecule (Xg blood group) [Source:HGNC Symbol;Acc:HGNC:7082]
BEX3,3.00690995110826e-14,-0.518891330262159,0.582,0.801,1.20989035702743e-09,brain expressed X-linked 3 [Source:HGNC Symbol;Acc:HGNC:13388]
TOB1,3.36080899230671e-14,-0.297361613525463,0.866,0.959,1.35228871423445e-09,"transducer of ERBB2, 1 [Source:HGNC Symbol;Acc:HGNC:11979]"
SYT8,5.11037756827207e-14,-1.66354892781298,0.037,0.365,2.05626262214563e-09,synaptotagmin 8 [Source:HGNC Symbol;Acc:HGNC:19264]
RP11-442A13.1,6.444892050946e-14,-0.669398367127127,0.403,0.689,2.59323121453914e-09,
ANO1,1.01326937265531e-13,-1.01381132872665,0.187,0.543,4.07709197475318e-09,anoctamin 1 [Source:HGNC Symbol;Acc:HGNC:21625]
COL4A2,1.15018521294819e-13,-0.623710477201871,0.582,0.777,4.62800024133963e-09,collagen type IV alpha 2 chain [Source:HGNC Symbol;Acc:HGNC:2203]
CTD-3247F14.2,2.43349802458503e-13,-1.25366361387241,0.067,0.382,9.79166600152278e-09,
CACNA1C,2.46265562783489e-13,-0.871008415412092,0.037,0.357,9.90898744971924e-09,calcium voltage-gated channel subunit alpha1 C [Source:HGNC Symbol;Acc:HGNC:1390]
RPL37AP1,2.77682075302134e-13,-0.584528739290216,0.5,0.76,1.1173093663932e-08,ribosomal protein L37a pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:16548]
TRIM4,3.1302298788205e-13,-1.38958280597339,0,0.301,1.259510596341e-08,tripartite motif containing 4 [Source:HGNC Symbol;Acc:HGNC:16275]
RP4-604A21.1,3.9605158853759e-13,-0.777756130975924,0.261,0.594,1.5935927767987e-08,
MEIS1,6.79941321520948e-13,-0.939594084923038,0.231,0.566,2.73587989540384e-08,Meis homeobox 1 [Source:HGNC Symbol;Acc:HGNC:7000]
KRT19P1,9.58919147697143e-13,-0.999125334810485,0.022,0.327,3.85840297458899e-08,keratin 19 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:33422]
ABCA13,1.62957704118268e-12,-1.01557990832664,0.104,0.411,6.55692914060674e-08,ATP binding cassette subfamily A member 13 [Source:HGNC Symbol;Acc:HGNC:14638]
HORMAD1,1.6375127381494e-12,-1.40418614254077,0.007,0.296,6.58886000449175e-08,HORMA domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25245]
KIAA1683,2.19330290989177e-12,-0.970842616624155,0.187,0.516,8.82519291853153e-08,
AC096664.1,2.31060919671911e-12,-0.733592245980557,0.269,0.566,9.29719822483868e-08,
TSPYL1,2.41102959716398e-12,-0.577259537904236,0.567,0.849,9.70125979010869e-08,TSPY like 1 [Source:HGNC Symbol;Acc:HGNC:12382]
ARHGDIB,3.71026955345447e-12,-1.47498756885867,0.03,0.327,1.49290116022347e-07,Rho GDP dissociation inhibitor beta [Source:HGNC Symbol;Acc:HGNC:679]
CALML3,4.05375440593278e-12,-1.38191974100135,0.015,0.298,1.63110916031517e-07,calmodulin like 3 [Source:HGNC Symbol;Acc:HGNC:1452]
LIMA1,4.53422922153605e-12,-0.965889965611533,0.216,0.54,1.82443781186946e-07,LIM domain and actin binding 1 [Source:HGNC Symbol;Acc:HGNC:24636]
RP11-712L6.8,5.22426798878374e-12,-1.0702495812547,0.194,0.482,2.10208871064691e-07,
COX6A1P2,7.09346019292214e-12,-0.57515965865618,0.493,0.739,2.85419557782608e-07,COX6A1 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:35239]
RP1-278E11.3,7.10878255025494e-12,-0.368318986458811,0.709,0.865,2.86036083474608e-07,
MTRNR2L4,7.34191685120335e-12,-0.527776845972817,0.455,0.739,2.95416708341869e-07,
SOCS3,8.57230119514494e-12,-1.39013267059043,0.03,0.312,3.44923683189047e-07,suppressor of cytokine signaling 3 [Source:HGNC Symbol;Acc:HGNC:19391]
NDUFS6,1.17868797010547e-11,-0.771352767386173,0.373,0.626,4.74268678531336e-07,NADH:ubiquinone oxidoreductase subunit S6 [Source:HGNC Symbol;Acc:HGNC:7713]
TP63,1.24160845789165e-11,-1.20658099321145,0.134,0.426,4.99585995201863e-07,tumor protein p63 [Source:HGNC Symbol;Acc:HGNC:15979]
APOL1,1.3966776514408e-11,-1.08746091647533,0.007,0.277,5.61981186610236e-07,apolipoprotein L1 [Source:HGNC Symbol;Acc:HGNC:618]
RP11-572H4.2,1.5932822751599e-11,-0.603906559683617,0.112,0.436,6.41088989056091e-07,
KRT14,1.62135220980828e-11,-0.474974498580187,0.724,0.854,6.52383488660559e-07,keratin 14 [Source:HGNC Symbol;Acc:HGNC:6416]
SHC4,2.05332291098201e-11,-1.15391366876893,0.097,0.396,8.26195539691831e-07,SHC adaptor protein 4 [Source:HGNC Symbol;Acc:HGNC:16743]
SORL1,2.06635419900486e-11,-1.0599812576491,0.082,0.377,8.31438939053585e-07,sortilin related receptor 1 [Source:HGNC Symbol;Acc:HGNC:11185]
SNORD42A,2.23076249791675e-11,-1.33583373551416,0.03,0.308,8.97591906286763e-07,"small nucleolar RNA, C/D box 42A [Source:HGNC Symbol;Acc:HGNC:10180]"
CCDC144NL,2.4087267608731e-11,-0.643454992514473,0,0.262,9.69199386772509e-07,CCDC144A N-terminal like (pseudogene) [Source:HGNC Symbol;Acc:HGNC:33735]
RP11-344E13.3,2.47631638451906e-11,-0.99080052813493,0.045,0.324,9.96395423638932e-07,
RP11-466F5.9,2.6280700755776e-11,-0.698722968440901,0.276,0.569,1.05745655631016e-06,
MORF4L1,2.94503329516136e-11,-0.366030853358293,0.784,0.9,1.18499304697408e-06,mortality factor 4 like 1 [Source:HGNC Symbol;Acc:HGNC:16989]
HSP90AB3P,3.09659563424809e-11,-0.250866997685701,0.873,0.961,1.2459771853524e-06,"heat shock protein 90 alpha family class B member 3, pseudogene [Source:HGNC Symbol;Acc:HGNC:5259]"
REC8,3.17291993491516e-11,-1.11387616320164,0.067,0.35,1.27668779421181e-06,REC8 meiotic recombination protein [Source:HGNC Symbol;Acc:HGNC:16879]
JAM3,3.30356581760061e-11,-1.31862247522432,0.037,0.307,1.32925577802796e-06,junctional adhesion molecule 3 [Source:HGNC Symbol;Acc:HGNC:15532]
HES1,3.36464606695521e-11,-0.547119542567772,0.612,0.809,1.35383263796077e-06,hes family bHLH transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:5192]
POTEE,3.87155483761734e-11,-0.954888207526954,0.149,0.428,1.55779752001209e-06,POTE ankyrin domain family member E [Source:HGNC Symbol;Acc:HGNC:33895]
CD96,4.05298406329666e-11,-1.41080682011941,0.015,0.281,1.63079919754868e-06,CD96 molecule [Source:HGNC Symbol;Acc:HGNC:16892]
USP9Y,4.17864777728542e-11,-0.801668051461823,0,0.257,1.68136250614634e-06,ubiquitin specific peptidase 9 Y-linked [Source:HGNC Symbol;Acc:HGNC:12633]
RP11-144J4.3,4.43170750387472e-11,-0.701424592149238,0.246,0.556,1.78318614833407e-06,
TRIM22,6.03679349009002e-11,-1.00952686193589,0.149,0.452,2.42902459660752e-06,tripartite motif containing 22 [Source:HGNC Symbol;Acc:HGNC:16379]
RP13-585F24.1,6.06480448005101e-11,-0.395646531253581,0.672,0.829,2.44029537863812e-06,
UACA,6.98898723225963e-11,-0.817082184491465,0.261,0.567,2.81215879264431e-06,uveal autoantigen with coiled-coil domains and ankyrin repeats [Source:HGNC Symbol;Acc:HGNC:15947]
COL9A2,9.09598782287583e-11,-1.03911288620521,0.112,0.409,3.65995262029055e-06,collagen type IX alpha 2 chain [Source:HGNC Symbol;Acc:HGNC:2218]
RP11-613F7.1,9.13540405613981e-11,-0.370162287290618,0.701,0.866,3.67581253006897e-06,
RP11-182B22.4,1.0194382978577e-10,-0.609256608834491,0.41,0.704,4.10191387909003e-06,
WI2-80423F1.1,1.17969026072502e-10,-0.583429026073181,0.41,0.653,4.74671970207928e-06,
RPL7AP34,1.30270269847914e-10,-0.685994517516302,0.179,0.478,5.2416848478705e-06,ribosomal protein L7a pseudogene 34 [Source:HGNC Symbol;Acc:HGNC:36778]
RPL36AL,1.33616516032026e-10,-0.343884608025365,0.679,0.796,5.37632775558063e-06,ribosomal protein L36a like [Source:HGNC Symbol;Acc:HGNC:10346]
RP11-343P16.1,1.47118981431217e-10,-0.677059210832991,0.336,0.601,5.91962645584788e-06,
RIN2,1.47345298525427e-10,-0.89063346438632,0.157,0.472,5.92873277676762e-06,Ras and Rab interactor 2 [Source:HGNC Symbol;Acc:HGNC:18750]
LRRFIP1,1.71223532543723e-10,-0.66972279353431,0.515,0.717,6.88952127896178e-06,LRR binding FLII interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:6702]
MAGEA9B,1.71286916787644e-10,-1.17564305663516,0,0.244,6.89207167078445e-06,MAGE family member A9B [Source:HGNC Symbol;Acc:HGNC:31909]
RP11-422P24.9,2.19360136234097e-10,-0.842945135956788,0.09,0.386,8.82639380165135e-06,
TSC22D3,2.62764676363403e-10,-1.31453355805535,0,0.24,1.05728622828342e-05,TSC22 domain family member 3 [Source:HGNC Symbol;Acc:HGNC:3051]
PPIEL,2.70612687184757e-10,-0.91951401469412,0.09,0.354,1.08886426942531e-05,peptidylprolyl isomerase E like (pseudogene) [Source:HGNC Symbol;Acc:HGNC:33195]
PPIEL,2.70612687184757e-10,-0.91951401469412,0.09,0.354,1.08886426942531e-05,peptidylprolyl isomerase E like (pseudogene) [Source:NCBI gene (formerly Entrezgene);Acc:728448]
BCL2A1,2.74387243872579e-10,-1.5168717197659,0.015,0.259,1.1040519531701e-05,BCL2 related protein A1 [Source:HGNC Symbol;Acc:HGNC:991]
GLIPR2,2.80150795185587e-10,-1.31919016644959,0.03,0.281,1.12724275458825e-05,GLI pathogenesis related 2 [Source:HGNC Symbol;Acc:HGNC:18007]
COL4A5,2.92303098650436e-10,-0.954960258945171,0,0.239,1.17613997803976e-05,collagen type IV alpha 5 chain [Source:HGNC Symbol;Acc:HGNC:2207]
RP11-84E17.1,2.94558418635817e-10,-0.302863854237765,0.761,0.897,1.18521470906494e-05,
PSME1,2.96236706503114e-10,-0.338961172476163,0.754,0.876,1.19196763595658e-05,proteasome activator subunit 1 [Source:HGNC Symbol;Acc:HGNC:9568]
SAA1,3.11221357039103e-10,-1.12080057690003,0.157,0.428,1.25226137431824e-05,serum amyloid A1 [Source:HGNC Symbol;Acc:HGNC:10513]
COMP,3.63761464620533e-10,-1.57723945215245,0.007,0.247,1.46366700519364e-05,cartilage oligomeric matrix protein [Source:HGNC Symbol;Acc:HGNC:2227]
CTC-338M12.13,4.66886070310037e-10,-1.02475705377407,0.007,0.249,1.8786094811065e-05,
CLDN23,5.5184032349018e-10,-1.24150984585186,0,0.233,2.22043990962744e-05,claudin 23 [Source:HGNC Symbol;Acc:HGNC:17591]
SEMA6D,6.12156113976602e-10,-0.952358043683924,0.224,0.483,2.46313255580765e-05,semaphorin 6D [Source:HGNC Symbol;Acc:HGNC:16770]
CTB-119C2.1,6.14047893535222e-10,-0.999095213156785,0.127,0.401,2.47074450921767e-05,
PI15,6.33272097859284e-10,-1.17703827631017,0.022,0.262,2.5480969401564e-05,peptidase inhibitor 15 [Source:HGNC Symbol;Acc:HGNC:8946]
CCDC144C,6.47478329228641e-10,-0.701645013304074,0.097,0.369,2.60525855331728e-05,
MX2,6.80321614416497e-10,-1.124353183097,0.007,0.241,2.73741007992766e-05,MX dynamin like GTPase 2 [Source:HGNC Symbol;Acc:HGNC:7533]
CPNE8,6.81073958636936e-10,-1.04303580493853,0,0.231,2.74043728736744e-05,copine 8 [Source:HGNC Symbol;Acc:HGNC:23498]
FURIN,7.45279817153274e-10,-0.919970131028968,0.172,0.44,2.99878240027963e-05,"furin, paired basic amino acid cleaving enzyme [Source:HGNC Symbol;Acc:HGNC:8568]"
CFH,7.76579544302158e-10,-1.32212719891421,0.022,0.258,3.12472311240859e-05,complement factor H [Source:HGNC Symbol;Acc:HGNC:4883]
PDGFA,7.90458806043536e-10,-0.595584178276686,0.545,0.687,3.18056909787738e-05,platelet derived growth factor subunit A [Source:HGNC Symbol;Acc:HGNC:8799]
SSR4,8.29835579392882e-10,-0.340981225600661,0.694,0.85,3.33900942080314e-05,signal sequence receptor subunit 4 [Source:HGNC Symbol;Acc:HGNC:11326]
TTTY15,9.18879812160236e-10,-0.904105429523119,0.007,0.238,3.69729670018914e-05,
COL1A2,9.28237677312574e-10,-1.1275038858613,0.022,0.258,3.7349499422026e-05,collagen type I alpha 2 chain [Source:HGNC Symbol;Acc:HGNC:2198]
AC010733.5,1.00607434596339e-09,-0.72817086144286,0.194,0.481,4.04814134585291e-05,
THNSL2,1.14899889674302e-09,-1.06003945897975,0,0.226,4.62322686082487e-05,threonine synthase like 2 [Source:HGNC Symbol;Acc:HGNC:25602]
PRSS21,1.14899889674302e-09,-1.33921740456576,0,0.226,4.62322686082487e-05,serine protease 21 [Source:HGNC Symbol;Acc:HGNC:9485]
FOXP1,1.23384558115731e-09,-0.425907904674451,0.739,0.873,4.96462446490266e-05,forkhead box P1 [Source:HGNC Symbol;Acc:HGNC:3823]
NDUFA1,1.53783570477199e-09,-0.449618232356112,0.597,0.7,6.18778952529105e-05,NADH:ubiquinone oxidoreductase subunit A1 [Source:HGNC Symbol;Acc:HGNC:7683]
RP11-568G11.3,1.77381788443374e-09,-0.425360726542809,0.649,0.814,7.13731102159605e-05,
TSC22D1,1.81743888964641e-09,-0.540852403327765,0.463,0.727,7.31282886027027e-05,TSC22 domain family member 1 [Source:HGNC Symbol;Acc:HGNC:16826]
IGFBP4,1.91924074209514e-09,-0.995152023042087,0.104,0.367,7.7224489739682e-05,insulin like growth factor binding protein 4 [Source:HGNC Symbol;Acc:HGNC:5473]
KRT16P5,2.00171314252728e-09,-0.624984614070258,0.358,0.628,8.054293171587e-05,keratin 16 pseudogene 5 [Source:HGNC Symbol;Acc:HGNC:37810]
RP11-696F12.1,2.13989694459863e-09,-1.30439255868399,0,0.219,8.61030333598151e-05,
SLFN13,2.16424344908286e-09,-0.708952492050652,0.015,0.24,8.70826636607471e-05,schlafen family member 13 [Source:HGNC Symbol;Acc:HGNC:26481]
MIR145,2.37216433566423e-09,-1.39956369640876,0,0.218,9.54487763741218e-05,microRNA 145 [Source:HGNC Symbol;Acc:HGNC:31532]
TUBB2B,2.46356382801944e-09,-0.829073468062871,0.448,0.647,9.91264177480182e-05,tubulin beta 2B class IIb [Source:HGNC Symbol;Acc:HGNC:30829]
NDUFB11,2.52228450378205e-09,-0.452014073039874,0.537,0.699,0.000101489161578678,NADH:ubiquinone oxidoreductase subunit B11 [Source:HGNC Symbol;Acc:HGNC:20372]
TCEAL8,2.81388749858225e-09,-0.755913368719137,0.269,0.526,0.000113222391280454,transcription elongation factor A like 8 [Source:HGNC Symbol;Acc:HGNC:28683]
RASD1,3.02595745398572e-09,-0.98107658391934,0.119,0.387,0.000121755450076023,ras related dexamethasone induced 1 [Source:HGNC Symbol;Acc:HGNC:15828]
RPL10P1,3.17560796544839e-09,-0.599944825878504,0.276,0.566,0.000127776937705747,ribosomal protein L10 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:10300]
RP11-134L4.1,4.41039154122305e-09,-0.474431282646193,0.463,0.715,0.000177460924444192,
RP11-106A1.2,4.99226158732042e-09,-0.41317456656543,0.575,0.778,0.000200873629489012,
